Trigram,2022,2021,2020,2019,2018
graph neural network,0.0016926729790466726,0.001582994120307553,0.0012339006194394464,0.0006049118845021575,0.0001523817816695601
deep neural network,0.0012247326674330874,0.001613972478826292,0.0018704084317727632,0.002235933558270938,0.0023945708548073733
deep reinforcement learning,0.001080306645330129,0.0011276122500820927,0.001255236076836094,0.001438346036482908,0.0013115717636558565
convolutional neural network,0.0010716410840039515,0.0016759291958637695,0.0019948652665865403,0.0026302464903908626,0.004174172376448307
multiple input multiple (output),0.0008896642961542238,0.0009634269499327769,0.0007360732801843384,0.0009006465835921012,0.0012190542533564808
generative adversarial network,0.0008347824077550997,0.0011369057576377142,0.0011450028802867484,0.001536924269512889,0.0016544307724123668
natural language processing,0.0007943431215662714,0.0009045680687471732,0.0006293959932011009,0.00037638961702356465,0.0003265323892919145
3d object detection,0.0004939369955921178,0.0003407619437061269,0.00030225231311917277,0.00022404143870450278,5.986427137018433e-05
bidirectional encoder representation (transformer),0.00048238291382388115,0.0007961438139315874,0.000874753753262547,0.0005825077406317072,1.088441297639715e-05
massive multiple input,0.000462163270729467,0.0005669039608929202,0.00046582415316013685,0.0005735460830835271,0.0007238134629304105
pre-trained language model,0.00045060918896123027,0.0003407619437061269,0.0001884632070037195,8.513574670771106e-05,1.088441297639715e-05
unmanned aerial vehicle,0.0004448321480771119,0.0004584797060773344,0.0004836037009906764,0.0006093927132762476,0.0006802758110248219
multi-agent reinforcement learning,0.00041594694365652027,0.00038103380978048737,0.0003378114087802519,0.00025540724012313316,0.00011972854274036866
simultaneous localization mapping,0.00040439286188828356,0.0003531532871136224,0.00030936413225138857,0.00027781138399358344,0.0003047635633391202
large language model,0.00040439286188828356,8.05437321487209e-05,3.555909566107915e-06,8.961657548180111e-06,0.0
spiking neural network,0.00039861582100416526,0.0003097835851873881,0.0003164759513836044,0.0002330030962526829,0.00012517074922856723
automatic speech recognition,0.0003957273005621061,0.0003035879134836403,0.00018135138787150364,0.0002598880688972232,0.00015782398815775869
named entity recognition,0.00038995025967798774,0.000312881421039262,0.0003520350470446836,0.00037638961702356465,0.0002394570854807373
deep learning model,0.00035239949393121856,0.0002911965700761448,0.0003413673183463598,0.00018819480851178233,0.0002231304660161416
neural machine translation,0.0003495109734891594,0.0004708710494848299,0.0006898464558249354,0.0008961657548180111,0.0009034062770409635
neural architecture search,0.00032351428951062685,0.00046157754192920823,0.0005298305253500793,0.0004211979047644652,0.0001306129557167658
graph convolutional network,0.00032351428951062685,0.00046467537778108214,0.0005333864349161872,0.0005332186241167167,0.0002231304660161416
machine learning model,0.0002975176055320944,0.00025092470400178436,0.00020268684526815114,0.00016579066464133207,8.163309732297862e-05
unsupervised domain adaptation,0.00028885204420591685,0.00038722948148423513,0.0002880286748547411,0.0002598880688972232,0.00015782398815775869
neural radiance field,0.0002830750033217985,0.00013630477748245075,3.5559095661079145e-05,0.0,0.0
offline reinforcement learning,0.0002772979624376802,0.00018896798696430673,5.689455305772664e-05,8.961657548180111e-06,0.0
3d point cloud,0.00027152092155356184,0.00020755500207555002,0.00023469003136312238,0.00021507978115632267,0.0001741506076223544
graphic processing unit,0.00026863240111150267,0.00026641388326115374,0.00030225231311917277,0.00028677304154176356,0.0002884369438745245
model predictive control,0.00025418979890120684,0.00018587015111243285,0.00013156865394599285,0.00022404143870450278,0.00029932135685092166
multiple output system,0.00025418979890120684,0.000312881421039262,0.0001742395687392878,0.00024644558257495304,0.0003047635633391202
visual question answering,0.00025130127845914767,0.00023233768889054107,0.0002666932174580936,0.00021956060993041273,0.0002666681179217302
recurrent neural network,0.00023397015580679264,0.00039652298903985675,0.0005760573497094822,0.0009006465835921012,0.0010721146781751192
medical image segmentation,0.00022530459448061514,0.0001951636586680545,0.0001209009252476691,0.00010753989057816133,9.795971678757435e-05
explainable artificial intelligence,0.00022241607403855596,0.00020135933037180226,0.00011378910611545328,7.169326038544089e-05,2.17688259527943e-05
physics-informed neural network,0.00022241607403855596,9.60329114080903e-05,6.045046262383455e-05,2.6884972644540334e-05,0.0
stochastic gradient descent,0.0002108619922703193,0.0002633160474092799,0.0003627027757430073,0.0003539854731531144,0.0002829947373863259
time series forecasting,0.00020797347182826013,0.00017038097185306344,0.00010312137741712952,6.721243161135083e-05,3.265323892919145e-05
human pose estimation,0.00020508495138620096,0.00021994634548304554,0.00023469003136312238,0.0002016372948340525,0.00016870840113415584
deep learning approach,0.00019353086961796428,0.0002106528379274239,0.0002418018504953382,0.00024196475380086301,0.00027755253089812736
